time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
222.29865,0.034722798,146,0,,1
222.33336,0.0347227,146,0,,1
222.36807,0.0347232,146,0,,1
222.40279,0.0347227,146,0,,1
222.4375,0.0347229,146,0,,1
222.47221,0.034722902,146,0,,1
222.50693,0.0347231,146,0,,1
222.54164,0.034722902,146,0,,1
222.57635,0.0347229,146,0,,1
222.61107,0.0347232,146,0,,1
222.64578,0.0347228,146,0,,1
222.6805,0.0347229,146,0,,1
222.71521,0.0347227,146,0,,1
222.74992,0.034723,146,0,,1
222.78464,0.034723103,146,0,,1
222.81935,0.0347229,146,0,,1
222.85406,0.034722902,146,0,,1
222.88878,0.0347232,146,0,,1
222.9235,0.034722697,145,0,,1
222.9582,0.0347228,145,0,,1
222.99292,0.0347231,145,0,,1
223.02763,0.0347228,145,0,,1
223.06235,0.034722798,145,0,,1
223.09706,0.034723002,145,0,,1
223.13177,0.034722798,145,0,,1
223.16649,0.034723103,145,0,,1
223.2012,0.034722697,145,0,,1
223.23592,0.034722902,145,0,,1
223.27063,0.0347229,145,0,,1
223.30534,0.034723002,145,0,,1
223.34006,0.0347229,145,0,,1
223.37477,0.034723002,145,0,,1
223.40948,0.034723,145,0,,1
223.4442,0.034723,145,0,,1
223.47891,0.0347231,145,0,,1
223.51363,0.0347228,145,0,,1
223.54834,0.0347227,145,0,,1
223.58305,0.034723,145,0,,1
223.61777,0.0347231,145,0,,1
223.65248,0.0347228,145,0,,1
223.6872,0.034723,145,0,,1
223.72194,0.034749303,145,0,,1
223.75665,0.0347229,145,0,,1
223.79137,0.034723,145,0,,1
223.82608,0.034722902,145,0,,1
223.8608,0.0347231,145,0,,1
223.89551,0.034723,144,0,,1
223.93022,0.034722902,144,0,,1
223.96497,0.0347488,144,0,,1
223.99968,0.034723,144,0,,1
224.03442,0.0347514,144,0,,1
224.06914,0.034723002,144,0,,1
224.10385,0.034723,144,0,,1
224.13857,0.0347229,144,0,,1
224.17328,0.034722902,144,0,,1
224.208,0.0347228,144,0,,1
224.2427,0.0347229,144,0,,1
224.27742,0.0347231,144,0,,1
224.31213,0.0347228,144,0,,1
224.34685,0.0347227,144,0,,1
224.38156,0.0347229,144,0,,1
224.41628,0.0347279,144,0,,1
224.45099,0.0347226,144,0,,1
224.4857,0.034722798,144,0,,1
224.52042,0.034722902,144,0,,1
224.55513,0.034723,144,0,,1
224.58984,0.034723002,144,0,,1
224.62456,0.0347231,144,0,,1
224.65927,0.034722798,144,0,,1
224.69398,0.034722902,144,0,,1
224.7287,0.0347231,144,0,,1
224.76341,0.034722902,144,0,,1
224.79813,0.0347229,144,0,,1
224.83284,0.0347231,144,0,,1
224.86755,0.034722902,144,0,,1
224.90227,0.0347229,143,0,,1
224.93698,0.0347227,143,0,,1
224.9717,0.034722902,143,0,,1
225.00641,0.0347229,143,0,,1
225.04112,0.034723,143,0,,1
225.07584,0.034722902,143,0,,1
225.11055,0.0347231,143,0,,1
225.14526,0.034722902,143,0,,1
225.17998,0.034722798,143,,,1
225.21469,0.034723002,143,,,1
225.2494,0.034722697,143,,,1
225.28412,0.0347228,143,,,1
225.31883,0.0347228,143,,,1
225.35355,0.0347229,143,,,1
225.38826,0.034722902,143,,,1
225.42297,0.034723,143,,,1
225.45769,0.034723,143,,,1
225.4924,0.0347228,143,,,1
225.52711,0.0347228,143,,,1
225.56183,0.0347229,143,,,1
225.59654,0.034722902,143,,,1
225.63126,0.034722697,143,,,1
225.66597,0.034722902,143,,,1
225.70068,0.0347227,143,,,1
225.7354,0.034723,143,,,1
225.77011,0.0347228,143,,,1
225.80482,0.0347231,143,,,1
225.83954,0.0347229,143,,,1
225.87425,0.034723002,143,,,1
225.90897,0.0347229,142,,,1
225.94368,0.0347231,142,,,1
225.9784,0.0347228,142,,,1
226.01315,0.0347661,142,,,1
226.04787,0.034722902,142,,,1
226.08258,0.034722798,142,,,1
226.1173,0.034722902,142,,,1
226.15201,0.0347229,142,,,1
226.18675,0.0347474,142,,,1
226.22147,0.034723002,142,,,1
226.25648,0.035011098,142,,,1
226.29286,0.0363796,142,,,1
226.33052,0.037669297,142,,,1
226.36604,0.035533004,142,,,1
226.40076,0.0347231,142,,,1
226.43547,0.034722798,142,,,1
226.47018,0.0347227,142,,,1
226.5049,0.0347227,142,,,1
226.53961,0.034723,142,,,1
226.57823,0.0386293,142,,,1
226.61296,0.0347395,142,,,1
226.65234,0.039387498,142,,,1
226.68707,0.0347328,142,,,1
226.72179,0.034723,142,,,1
226.7565,0.0347228,142,,,1
226.79121,0.0347231,142,,,1
226.82593,0.034723103,142,,,1
226.86064,0.034722798,141,,,1
226.89865,0.0380226,141,,,1
226.93732,0.0386741,141,,,1
226.97203,0.034723,141,,,1
227.00674,0.0347228,141,,,1
227.04146,0.034722798,141,,,1
227.07617,0.034723002,141,,,1
227.11089,0.0347229,141,,,1
227.1456,0.034722902,141,,,1
